City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,san francisco de becerra,14.6333,-86.1,300.04,96,100,1.39,HN,1688434199
326,caravelas,-17.7125,-39.2481,295.34,55,84,5.41,BR,1688434199
327,mastic beach,40.7668,-72.8521,299.25,91,0,4.02,US,1688434200
328,labuan,5.2767,115.2417,299.35,83,20,1.03,MY,1688434202
329,gold coast,-28.0,153.4333,293.28,93,100,4.63,AU,1688434203
330,vardo,70.3705,31.1107,281.14,100,100,3.09,NO,1688434204
331,zaraza,9.3503,-65.3245,297.67,89,66,2.49,VE,1688434206
332,quattro castella,44.635,10.4743,292.78,76,7,0.91,IT,1688434206
333,nakhon phanom,17.3333,104.4167,296.97,95,100,2.58,TH,1688434207
334,buchanan,5.8808,-10.0467,297.54,85,86,1.34,LR,1688434209
335,kununurra,-15.7667,128.7333,293.14,60,75,3.6,AU,1688434210
336,taoudenni,22.6783,-3.9836,312.43,11,0,5.03,ML,1688434211
337,pimentel,-6.8367,-79.9342,297.31,78,0,5.66,PE,1688434212
338,malindi,-3.2175,40.1191,296.75,82,46,7.6,KE,1688434212
339,grand gaube,-20.0064,57.6608,295.37,69,33,2.68,MU,1688434213
340,sechura,-5.5569,-80.8222,296.59,71,15,7.41,PE,1688434214
341,sakakah,29.9697,40.2064,301.91,17,0,3.72,SA,1688434215
342,albanel,48.8832,-72.4487,295.14,88,64,0.51,CA,1688434216
343,qaqortoq,60.7167,-46.0333,279.14,90,100,3.57,GL,1688434217
344,sao filipe,14.8961,-24.4956,298.05,78,100,3.33,CV,1688434218
345,qinzhou,21.95,108.6167,304.48,64,59,7.86,CN,1688434218
346,westport,41.1415,-73.3579,299.83,84,20,3.6,US,1688434039
347,beyneu,45.3167,55.2,297.97,50,0,3.39,KZ,1688434220
348,santa maria da vitoria,-13.3947,-44.1886,293.53,42,1,1.14,BR,1688434221
349,owando,-0.4819,15.8999,297.56,67,77,1.35,CG,1688434221
350,guapore,-28.8456,-51.8903,285.82,95,6,1.02,BR,1688434222
351,teguldet,57.3064,88.1667,292.8,55,27,1.61,RU,1688434223
